STAGE_NUMBER,AT_KM,CITY,COUNTRY,LATITUDE,LONGITUDE
702,105,Linthal,FRA,47.9475,7.1311
703,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
704,89,Charcier,FRA,46.6281,5.7514
705,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
706,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
707,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
708,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
709,123.5,Saint-Girons,FRA,42.9858,1.1467
710,31,Saint-Béat,FRA,42.915,0.6933
711,61.5,Trébons,FRA,43.1022,0.1219
712,130.5,Tonneins,FRA,44.3906,0.3092
714,91,Paris Champs-Élysées,FRA,48.8567,2.3508
715,77,Newbiggin,ENG,54.26929,-2.00449
716,68.5,Keighley,ENG,53.867,-1.911
717,108,Epping Forest,ENG,51.66,0.05
718,92,Cassel,FRA,50.8006,2.4883
719,97,Templeuve,FRA,50.5272,3.1758
720,119,Pinon,FRA,49.4883,3.4464
721,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
722,100,Dinozé,FRA,48.1411,6.4772
723,105,Linthal,FRA,47.9475,7.1311
724,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
725,89,Charcier,FRA,46.6281,5.7514
726,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
727,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
728,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
729,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
730,123.5,Saint-Girons,FRA,42.9858,1.1467
731,31,Saint-Béat,FRA,42.915,0.6933
732,61.5,Trébons,FRA,43.1022,0.1219
733,130.5,Tonneins,FRA,44.3906,0.3092
735,91,Paris Champs-Élysées,FRA,48.8567,2.3508
736,77,Newbiggin,ENG,54.26929,-2.00449
737,68.5,Keighley,ENG,53.867,-1.911
738,108,Epping Forest,ENG,51.66,0.05
739,92,Cassel,FRA,50.8006,2.4883
740,97,Templeuve,FRA,50.5272,3.1758
741,119,Pinon,FRA,49.4883,3.4464
742,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
743,100,Dinozé,FRA,48.1411,6.4772
744,105,Linthal,FRA,47.9475,7.1311
745,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
746,89,Charcier,FRA,46.6281,5.7514
747,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
748,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
749,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
750,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
751,123.5,Saint-Girons,FRA,42.9858,1.1467
752,31,Saint-Béat,FRA,42.915,0.6933
753,61.5,Trébons,FRA,43.1022,0.1219
754,130.5,Tonneins,FRA,44.3906,0.3092
756,91,Paris Champs-Élysées,FRA,48.8567,2.3508
757,77,Newbiggin,ENG,54.26929,-2.00449
758,68.5,Keighley,ENG,53.867,-1.911
759,108,Epping Forest,ENG,51.66,0.05
760,92,Cassel,FRA,50.8006,2.4883
761,97,Templeuve,FRA,50.5272,3.1758
762,119,Pinon,FRA,49.4883,3.4464
763,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
764,100,Dinozé,FRA,48.1411,6.4772
765,105,Linthal,FRA,47.9475,7.1311
766,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
767,89,Charcier,FRA,46.6281,5.7514
768,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
769,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
770,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
771,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
772,123.5,Saint-Girons,FRA,42.9858,1.1467
773,31,Saint-Béat,FRA,42.915,0.6933
774,61.5,Trébons,FRA,43.1022,0.1219
775,130.5,Tonneins,FRA,44.3906,0.3092
777,91,Paris Champs-Élysées,FRA,48.8567,2.3508
778,77,Newbiggin,ENG,54.26929,-2.00449
779,68.5,Keighley,ENG,53.867,-1.911
780,108,Epping Forest,ENG,51.66,0.05
781,92,Cassel,FRA,50.8006,2.4883
782,97,Templeuve,FRA,50.5272,3.1758
783,119,Pinon,FRA,49.4883,3.4464
784,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
785,100,Dinozé,FRA,48.1411,6.4772
786,105,Linthal,FRA,47.9475,7.1311
787,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
788,89,Charcier,FRA,46.6281,5.7514
789,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
790,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
791,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
792,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
793,123.5,Saint-Girons,FRA,42.9858,1.1467
794,31,Saint-Béat,FRA,42.915,0.6933
795,61.5,Trébons,FRA,43.1022,0.1219
796,130.5,Tonneins,FRA,44.3906,0.3092
798,91,Paris Champs-Élysées,FRA,48.8567,2.3508
799,77,Newbiggin,ENG,54.26929,-2.00449
800,68.5,Keighley,ENG,53.867,-1.911
801,108,Epping Forest,ENG,51.66,0.05
802,92,Cassel,FRA,50.8006,2.4883
803,97,Templeuve,FRA,50.5272,3.1758
804,119,Pinon,FRA,49.4883,3.4464
805,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
806,100,Dinozé,FRA,48.1411,6.4772
807,105,Linthal,FRA,47.9475,7.1311
808,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
809,89,Charcier,FRA,46.6281,5.7514
810,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
811,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
812,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
813,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
814,123.5,Saint-Girons,FRA,42.9858,1.1467
815,31,Saint-Béat,FRA,42.915,0.6933
816,61.5,Trébons,FRA,43.1022,0.1219
817,130.5,Tonneins,FRA,44.3906,0.3092
819,91,Paris Champs-Élysées,FRA,48.8567,2.3508
820,77,Newbiggin,ENG,54.26929,-2.00449
821,68.5,Keighley,ENG,53.867,-1.911
822,108,Epping Forest,ENG,51.66,0.05
823,92,Cassel,FRA,50.8006,2.4883
824,97,Templeuve,FRA,50.5272,3.1758
825,119,Pinon,FRA,49.4883,3.4464
826,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
827,100,Dinozé,FRA,48.1411,6.4772
828,105,Linthal,FRA,47.9475,7.1311
829,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
830,89,Charcier,FRA,46.6281,5.7514
831,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
832,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
833,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
834,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
835,123.5,Saint-Girons,FRA,42.9858,1.1467
836,31,Saint-Béat,FRA,42.915,0.6933
837,61.5,Trébons,FRA,43.1022,0.1219
838,130.5,Tonneins,FRA,44.3906,0.3092
840,91,Paris Champs-Élysées,FRA,48.8567,2.3508
841,77,Newbiggin,ENG,54.26929,-2.00449
842,68.5,Keighley,ENG,53.867,-1.911
843,108,Epping Forest,ENG,51.66,0.05
844,92,Cassel,FRA,50.8006,2.4883
845,97,Templeuve,FRA,50.5272,3.1758
846,119,Pinon,FRA,49.4883,3.4464
847,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
848,100,Dinozé,FRA,48.1411,6.4772
849,105,Linthal,FRA,47.9475,7.1311
850,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
851,89,Charcier,FRA,46.6281,5.7514
852,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
853,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
854,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
855,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
856,123.5,Saint-Girons,FRA,42.9858,1.1467
857,31,Saint-Béat,FRA,42.915,0.6933
858,61.5,Trébons,FRA,43.1022,0.1219
859,130.5,Tonneins,FRA,44.3906,0.3092
861,91,Paris Champs-Élysées,FRA,48.8567,2.3508
862,77,Newbiggin,ENG,54.26929,-2.00449
863,68.5,Keighley,ENG,53.867,-1.911
864,108,Epping Forest,ENG,51.66,0.05
865,92,Cassel,FRA,50.8006,2.4883
866,97,Templeuve,FRA,50.5272,3.1758
867,119,Pinon,FRA,49.4883,3.4464
868,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
869,100,Dinozé,FRA,48.1411,6.4772
870,105,Linthal,FRA,47.9475,7.1311
871,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
872,89,Charcier,FRA,46.6281,5.7514
873,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
874,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
875,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
876,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
877,123.5,Saint-Girons,FRA,42.9858,1.1467
878,31,Saint-Béat,FRA,42.915,0.6933
879,61.5,Trébons,FRA,43.1022,0.1219
880,130.5,Tonneins,FRA,44.3906,0.3092
882,91,Paris Champs-Élysées,FRA,48.8567,2.3508
883,77,Newbiggin,ENG,54.26929,-2.00449
884,68.5,Keighley,ENG,53.867,-1.911
885,108,Epping Forest,ENG,51.66,0.05
886,92,Cassel,FRA,50.8006,2.4883
887,97,Templeuve,FRA,50.5272,3.1758
888,119,Pinon,FRA,49.4883,3.4464
889,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
890,100,Dinozé,FRA,48.1411,6.4772
891,105,Linthal,FRA,47.9475,7.1311
892,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
893,89,Charcier,FRA,46.6281,5.7514
894,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
895,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
896,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
897,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
898,123.5,Saint-Girons,FRA,42.9858,1.1467
899,31,Saint-Béat,FRA,42.915,0.6933
900,61.5,Trébons,FRA,43.1022,0.1219
901,130.5,Tonneins,FRA,44.3906,0.3092
903,91,Paris Champs-Élysées,FRA,48.8567,2.3508
904,77,Newbiggin,ENG,54.26929,-2.00449
905,68.5,Keighley,ENG,53.867,-1.911
906,108,Epping Forest,ENG,51.66,0.05
907,92,Cassel,FRA,50.8006,2.4883
908,97,Templeuve,FRA,50.5272,3.1758
909,119,Pinon,FRA,49.4883,3.4464
910,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
911,100,Dinozé,FRA,48.1411,6.4772
912,105,Linthal,FRA,47.9475,7.1311
913,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
914,89,Charcier,FRA,46.6281,5.7514
915,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
916,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
917,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
918,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
919,123.5,Saint-Girons,FRA,42.9858,1.1467
920,31,Saint-Béat,FRA,42.915,0.6933
921,61.5,Trébons,FRA,43.1022,0.1219
922,130.5,Tonneins,FRA,44.3906,0.3092
924,91,Paris Champs-Élysées,FRA,48.8567,2.3508
925,77,Newbiggin,ENG,54.26929,-2.00449
926,68.5,Keighley,ENG,53.867,-1.911
927,108,Epping Forest,ENG,51.66,0.05
928,92,Cassel,FRA,50.8006,2.4883
929,97,Templeuve,FRA,50.5272,3.1758
930,119,Pinon,FRA,49.4883,3.4464
931,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
932,100,Dinozé,FRA,48.1411,6.4772
933,105,Linthal,FRA,47.9475,7.1311
934,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
935,89,Charcier,FRA,46.6281,5.7514
936,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
937,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
938,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
939,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
940,123.5,Saint-Girons,FRA,42.9858,1.1467
941,31,Saint-Béat,FRA,42.915,0.6933
942,61.5,Trébons,FRA,43.1022,0.1219
943,130.5,Tonneins,FRA,44.3906,0.3092
945,91,Paris Champs-Élysées,FRA,48.8567,2.3508
946,77,Newbiggin,ENG,54.26929,-2.00449
947,68.5,Keighley,ENG,53.867,-1.911
948,108,Epping Forest,ENG,51.66,0.05
949,92,Cassel,FRA,50.8006,2.4883
950,97,Templeuve,FRA,50.5272,3.1758
951,119,Pinon,FRA,49.4883,3.4464
952,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
953,100,Dinozé,FRA,48.1411,6.4772
954,105,Linthal,FRA,47.9475,7.1311
955,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
956,89,Charcier,FRA,46.6281,5.7514
957,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
958,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
959,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
960,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
961,123.5,Saint-Girons,FRA,42.9858,1.1467
962,31,Saint-Béat,FRA,42.915,0.6933
963,61.5,Trébons,FRA,43.1022,0.1219
964,130.5,Tonneins,FRA,44.3906,0.3092
966,91,Paris Champs-Élysées,FRA,48.8567,2.3508
967,77,Newbiggin,ENG,54.26929,-2.00449
968,68.5,Keighley,ENG,53.867,-1.911
969,108,Epping Forest,ENG,51.66,0.05
970,92,Cassel,FRA,50.8006,2.4883
971,97,Templeuve,FRA,50.5272,3.1758
972,119,Pinon,FRA,49.4883,3.4464
973,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
974,100,Dinozé,FRA,48.1411,6.4772
975,105,Linthal,FRA,47.9475,7.1311
976,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
977,89,Charcier,FRA,46.6281,5.7514
978,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
979,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
980,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
981,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
982,123.5,Saint-Girons,FRA,42.9858,1.1467
983,31,Saint-Béat,FRA,42.915,0.6933
984,61.5,Trébons,FRA,43.1022,0.1219
985,130.5,Tonneins,FRA,44.3906,0.3092
987,91,Paris Champs-Élysées,FRA,48.8567,2.3508
988,77,Newbiggin,ENG,54.26929,-2.00449
989,68.5,Keighley,ENG,53.867,-1.911
990,108,Epping Forest,ENG,51.66,0.05
991,92,Cassel,FRA,50.8006,2.4883
992,97,Templeuve,FRA,50.5272,3.1758
993,119,Pinon,FRA,49.4883,3.4464
994,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
995,100,Dinozé,FRA,48.1411,6.4772
996,105,Linthal,FRA,47.9475,7.1311
997,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
998,89,Charcier,FRA,46.6281,5.7514
999,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
1000,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
1001,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
1002,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
1003,123.5,Saint-Girons,FRA,42.9858,1.1467
1004,31,Saint-Béat,FRA,42.915,0.6933
1005,61.5,Trébons,FRA,43.1022,0.1219
1006,130.5,Tonneins,FRA,44.3906,0.3092
1008,91,Paris Champs-Élysées,FRA,48.8567,2.3508
1009,77,Newbiggin,ENG,54.26929,-2.00449
1010,68.5,Keighley,ENG,53.867,-1.911
1011,108,Epping Forest,ENG,51.66,0.05
1012,92,Cassel,FRA,50.8006,2.4883
1013,97,Templeuve,FRA,50.5272,3.1758
1014,119,Pinon,FRA,49.4883,3.4464
1015,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
1016,100,Dinozé,FRA,48.1411,6.4772
1017,105,Linthal,FRA,47.9475,7.1311
1018,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
1019,89,Charcier,FRA,46.6281,5.7514
1020,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
1021,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
1022,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
1023,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
1024,123.5,Saint-Girons,FRA,42.9858,1.1467
1025,31,Saint-Béat,FRA,42.915,0.6933
1026,61.5,Trébons,FRA,43.1022,0.1219
1027,130.5,Tonneins,FRA,44.3906,0.3092
1029,91,Paris Champs-Élysées,FRA,48.8567,2.3508
1030,77,Newbiggin,ENG,54.26929,-2.00449
1031,68.5,Keighley,ENG,53.867,-1.911
1032,108,Epping Forest,ENG,51.66,0.05
1033,92,Cassel,FRA,50.8006,2.4883
1034,97,Templeuve,FRA,50.5272,3.1758
1035,119,Pinon,FRA,49.4883,3.4464
1036,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
1037,100,Dinozé,FRA,48.1411,6.4772
1038,105,Linthal,FRA,47.9475,7.1311
1039,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
1040,89,Charcier,FRA,46.6281,5.7514
1041,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
1042,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
1043,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
1044,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
1045,123.5,Saint-Girons,FRA,42.9858,1.1467
1046,31,Saint-Béat,FRA,42.915,0.6933
1047,61.5,Trébons,FRA,43.1022,0.1219
1048,130.5,Tonneins,FRA,44.3906,0.3092
1050,91,Paris Champs-Élysées,FRA,48.8567,2.3508